Name,Team,Role,BattingStyle,BowlingStyle,Image
Meg Lanning(c),Australia,Top order Batter,Right hand Bat,Right arm Medium,
Alyssa Healy† (vc),Australia,Wicketkeeper Batter,Right hand Bat,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320125.png"
Darcie Brown,Australia,Bowler,Right hand Bat,Right arm Fast,
Ashleigh Gardner,Australia,Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320126.png"
Kim Garth,Australia,Allrounder,Right hand Bat,Right arm Medium fast,
Heather Graham,Australia,Allrounder,Right hand Bat,Right arm Medium fast,
Grace Harris,Australia,Allrounder,Right hand Bat,Right arm Offbreak,
Jess Jonassen,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox,
Alana King,Australia,Allrounder,Right hand Bat,Legbreak,
Tahlia McGrath,Australia,Allrounder,Right hand Bat,Right arm Medium,
Beth Mooney†,Australia,Wicketkeeper Batter,Left hand Bat,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320129.png"
Ellyse Perry,Australia,Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320130.png"
Megan Schutt,Australia,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321600/321667.png"
Annabel Sutherland,Australia,Allrounder,Right hand Bat,Right arm Medium fast,
Georgia Wareham,Australia,Bowler,Right hand Bat,Legbreak,
Nigar Sultana† (c),Bangladesh,Wicketkeeper Batter,Right hand Bat,,
Dilara Akter†,Bangladesh,Wicketkeeper Batter,Right hand Bat,,
Disha Biswas,Bangladesh,Allrounder,Right hand Bat,Right arm Fast medium,
Fahima Khatun,Bangladesh,Bowler,Right hand Bat,Legbreak,
Jahanara Alam,Bangladesh,Bowler,Right hand Bat,Right arm Medium,
Lata Mondal,Bangladesh,Allrounder,Right hand Bat,Right arm Medium,
Marufa Akter,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast,
Sobhana Mostary,Bangladesh,Middle order Batter,Right hand Bat,Right arm Medium,
Murshida Khatun,Bangladesh,Opening Batter,Left hand Bat,Left hand Bat,
Nahida Akter,Bangladesh,Bowler,Right hand Bat,Slow Left arm Orthodox,
Ritu Moni,Bangladesh,Allrounder,Right hand Bat,Right arm Medium,
Rumana Ahmed,Bangladesh,Allrounder,Right hand Bat,Legbreak,
Salma Khatun,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak,
Fargana Hoque,Bangladesh,Top order Batter,Right hand Bat,Right arm Offbreak,
Shamima Sultana†,Bangladesh,Wicketkeeper Batter,Right hand Bat,,
Shorna Akter,Bangladesh,Allrounder,Right hand Bat,Legbreak,
Heather Knight(c),England,Middle order Batter,Right hand Bat,Right arm Offbreak,
Lauren Bell,England,Bowler,Right hand Bat,Right arm Fast medium,
Maia Bouchier,England,Middle order Batter,Right hand Bat,Right arm Medium,
Katherine Sciver-Brunt,England,Bowling Allrounder,Right hand Bat,Right arm Medium fast,
Alice Capsey,England,Batting Allrounder,Right hand Bat,Right arm Offbreak,
Kate Cross,England,Bowler,Right hand Bat,Right arm Medium fast,
Freya Davies,England,Bowler,Right hand Bat,Right arm Fast medium,
Charlie Dean,England,Bowling Allrounder,Right hand Bat,Right arm Offbreak,
Sophia Dunkley,England,Batting Allrounder,Right hand Bat,Legbreak,
Sophie Ecclestone,England,Bowler,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323178.png"
Sarah Glenn,England,Bowling Allrounder,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323183.png"
Amy Jones†,England,Wicketkeeper Batter,Right hand Bat,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320392.png"
Nat Sciver-Brunt,England,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320409.png"
Lauren Winfield-Hill,England,Batter,Right hand Bat,,
Danni Wyatt,England,Top order Batter,Right hand Bat,Right arm Offbreak,
Harmanpreet Kaur(c),India,Allrounder,Right hand Bat,Right arm Offbreak,
Smriti Mandhana(vc),India,Opening Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320600/320632.png"
Anjali Sarvani,India,Bowler,Left hand Bat,Left arm Medium,
Yastika Bhatia,India,Middle order Batter,Left hand Bat,,
Harleen Deol,India,Middle order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly",
Rajeshwari Gayakwad,India,Bowler,Right hand Bat,Slow Left arm Orthodox,
Richa Ghosh†,India,Wicketkeeper Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331192.png"
Shikha Pandey,India,Allrounder,Right hand Bat,Right arm Medium,
Sneh Rana,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak,
Renuka Singh,India,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331196.png"
Jemimah Rodrigues,India,Middle order Batter,Right hand Bat,Right arm Offbreak,
Shafali Verma,India,Opening Batter,Right hand Bat,Right arm Offbreak,
Deepti Sharma,India,Allrounder,Left hand Bat,Right arm Offbreak,
Devika Vaidya,India,Allrounder,Left hand Bat,Legbreak Googly,
Radha Yadav,India,Bowler,Right hand Bat,Slow Left arm Orthodox,
Pooja Vastrakar,India,Bowler,Right hand Bat,Right arm Medium,
Laura Delany(c),Ireland,Allrounder,Right hand Bat,Right arm Medium,
Georgina Dempsey,Ireland,Allrounder,Right hand Bat,Right arm Medium,
Amy Hunter†,Ireland,Wicketkeeper Batter,Right hand Bat,,
Shauna Kavanagh,Ireland,Middle order Batter,Right hand Bat,Right arm Medium,
Arlene Kelly,Ireland,Allrounder,Right hand Bat,Right arm Medium,
Gaby Lewis,Ireland,Allrounder,Right hand Bat,Legbreak,
Louise Little,Ireland,Allrounder,Right hand Bat,Right arm Medium,
Sophie MacMahon,Ireland,Allrounder,Right hand Bat,Right arm Medium,
Jane Maguire,Ireland,Bowler,Right hand Bat,Right arm Medium,
Cara Murray,Ireland,Bowler,Right hand Bat,Legbreak,
Leah Paul,Ireland,Allrounder,Left hand Bat,Slow Left arm Orthodox,
Orla Prendergast,Ireland,Allrounder,Right hand Bat,"Right arm Medium fast, Right arm Medium",
Rachel Delaney,Ireland,Allrounder,Right hand Bat,Right arm Offbreak,
Eimear Richardson,Ireland,Allrounder,Right hand Bat,Right arm Offbreak,
